Sentence,Sentencia,Type,Tipo
A new survey reveals that less than a quarter of people wait on the platform to wave their loved one farewell until the train has pulled out.,Una nueva encuesta revela que menos de una cuarta parte de las personas esperan en la plataforma para saludar a su ser querido hasta que el tren se haya retirado.,Auditory,Auditivo
There is intense sibling jealousy and she feels she is not loved as much as the youngest child.,Hay intensos celos hermanos y siente que no es amada tanto como la niña más pequeña.,Auditory,Auditivo
"She was a dynamic, passionate, and caring woman, who loved drama and literature as much as medicine.","Era una mujer dinámica, apasionada y cariñosa, que amaba el drama y la literatura tanto como la medicina.",Auditory,Auditivo
There are no quick fixes for the grief and anguish after the death of a loved one.,No hay soluciones rápidas para el dolor y la angustia después de la muerte de un ser querido.,Auditory,Auditivo
"Among waterfowl, the Canada Goose is the least loved, especially by golfers.","Entre las aves acuáticas, el ganso de Canadá es el menos querido, especialmente por los golfistas.",Auditory,Auditivo
Those nutters in the square loved every minute of it and even cheered when the water cannon returned.,Esos locos en la plaza amaban cada minuto e incluso vitorearon cuando el cañón de agua regresaba.,Auditory,Auditivo
I have stopped wearing watches because time is really painful when you don't have your loved ones with you.,He dejado de usar relojes porque el tiempo es realmente doloroso cuando no tienes a tus seres queridos contigo.,Auditory,Auditivo
"I don't like jewelry or make up, but I loved buying chains that accessorize my clothing.","No me gustan las joyas o el maquillaje, pero me encantó comprar cadenas que acumulan mi ropa.",Auditory,Auditivo
It is one of the world's most well loved ballets and is easily accessible to those whose knowledge of classical ballet is only limited.,Es uno de los ballets más queridos del mundo y es fácilmente accesible para aquellos cuyo conocimiento del ballet clásico solo es limitado.,Auditory,Auditivo
"The young children in the war-torn city loved to paint and were always ready to learn, she said.","A los niños pequeños de la ciudad devastada por la guerra les encantaba pintar y siempre estaban listos para aprender, dijo.",Auditory,Auditivo
The crew of two Royal Navy warships returned home from the war in Iraq yesterday to a noisy reception from loved ones.,La tripulación de dos buques de guerra de la Royal Navy regresó a casa de la guerra en Irak ayer a una ruidosa recepción de seres queridos.,Auditory,Auditivo
Generous and warm-hearted you like to shower your loved one with affection and are very demonstrative and affectionate.,Generoso y de corazón cálido te gusta bañar a tu ser querido con afecto y eres muy demostrativo y cariñoso.,Auditory,Auditivo
But then Miller began taking more traditional academic courses and found he loved being a college student.,Pero entonces Miller comenzó a tomar cursos académicos más tradicionales y descubrió que le encantaba ser un estudiante universitario.,Auditory,Auditivo
You are generous and loving in personal and family relationships and spend quality time with loved ones.,Eres generoso y amoroso en las relaciones personales y familiares y pasas tiempo de calidad con sus seres queridos.,Auditory,Auditivo
"The warden announced that the execution could begin, and I told him that I loved him.","El director anunció que la ejecución podría comenzar, y le dije que lo amaba.",Auditory,Auditivo
I saw children who had been repeatedly abused by loved ones or people in authority.,Vi niños que habían sido abusados ​​repetidamente por seres queridos o personas con autoridad.,Auditory,Auditivo
"The sudden, abrupt death from a heart attack of the 14-year-old from Strensall shattered all those who knew and loved him.",La repentina y abrupzada muerte por un ataque cardíaco del niño de 14 años de Strensall destrozó a todos los que lo conocían y lo amaban.,Auditory,Auditivo
He was a keen walker of long-distance trails in Britain and loved travelling.,Era un gran andador de senderos de larga distancia en Gran Bretaña y le encantaba viajar.,Auditory,Auditivo
A well loved member of the card playing circuit for many years his hearty laugh could always be heard above any din.,"Un miembro muy querido del circuito de juego de cartas durante muchos años, su risa abundante siempre se puede escuchar sobre cualquier estruendo.",Auditory,Auditivo
"The most important thing is the presence of God with us, and loving this Abba as we are first loved.","Lo más importante es la presencia de Dios con nosotros, y amando este abba, ya que somos amados por primera vez.",Auditory,Auditivo
"Meanwhile, local families with loved ones on holiday in southern Asia face an anxious wait for news.","Mientras tanto, las familias locales con seres queridos de vacaciones en el sur de Asia enfrentan una ansiosa espera de noticias.",Auditory,Auditivo
In this way Father Frost became a dearly loved and adored character among Bulgarian children.,"De esta manera, el padre Frost se convirtió en un personaje querido y adorado entre los niños búlgaros.",Auditory,Auditivo
"It seemed that at Queensmead he was adored and loved where ever he went, and by many different year groups, not just our own.","Parecía que en Queensmead fue adorado y amado a donde quiera que fuera, y por muchos grupos de años diferentes, no solo los nuestros.",Auditory,Auditivo
"Mam loved people, adored God and family and always wanted the other person, whether family or friend to have half of whatever she had.","Mam amaba a las personas, adoraba a Dios y a la familia y siempre quiso que la otra persona, ya sea familiar o amiga, tuviera la mitad de lo que tenía.",Auditory,Auditivo
"He loved people, adored our friends and was the life of any party we had at home.","Amaba a la gente, adoraba a nuestros amigos y fue la vida de cualquier fiesta que tuviéramos en casa.",Auditory,Auditivo
"And Lauren loved him for all his sweet adorableness, and pure innocence, and she smiled.","Y Lauren lo amaba por toda su dulce adoración e inocencia pura, y ella sonrió.",Auditory,Auditivo
"A man with a great fondness for the outdoor life, he loved to ramble in the countryside and experience the peace and quiet of the land.","Un hombre con un gran cariño por la vida al aire libre, le encantaba divagar en el campo y experimentar la paz y la tranquilidad de la tierra.",Auditory,Auditivo
And he loved to tell the yarn about how he and a pal pilfered a barrel of whiskey out from under the noses of the police during Prohibition.,Y le encantaba contar el hilo sobre cómo él y un amigo robaron un barril de whisky de debajo de las narices de la policía durante la prohibición.,Auditory,Auditivo
"My boyfriend brought me to London and surprised me by booking us in at the Met Hotel, absolutely stunning and funky place to stay, I loved it!","Mi novio me trajo a Londres y me sorprendió reservándonos en el hotel Met, un lugar absolutamente impresionante y funky para quedarme, ¡me encantó!",Auditory,Auditivo
She loved dancing will also be missed in the Raftery Room for the waltz and quick step.,Le encantaba bailar también se extrañará en la Raftery Room para el vals y el paso rápido.,Auditory,Auditivo
Kathleen and Michael loved music and dancing and were the recipients of many trophies for waltzing and the quick step.,A Kathleen y Michael le encantaban la música y el baile y fueron los destinatarios de muchos trofeos por valsing y el paso rápido.,Auditory,Auditivo
"If I haven't already made it abundantly clear, I loved every minute of The Wire.","Si aún no lo he dejado muy claro, me encantó cada minuto del cable.",Auditory,Auditivo
Outside medicine he was an accomplished pianist and loved his garden and the nearby Lake District.,Fuera de la medicina era un pianista consumado y amaba su jardín y el cercano Lake District.,Auditory,Auditivo
"Having loved and lost, he yearned for the sort of redamancy only the classical love of years gone past may have once known.","Habiendo amado y perdido, anhelaba el tipo de redamancia que solo el amor clásico de los años pasados ​​puede haber conocido.",Auditory,Auditivo
"During the recent week that I drove the 6-Series ragtop around Los Angeles, car-savvy Angelenos loved it.","Durante la última semana que conduje la trapo de 6 series por Los Ángeles, a Angelenos, expertos en automóvil, le encantó.",Auditory,Auditivo
"They loved the baby, but felt too young to take care of her and decided to put her up for adoption.","Amaban al bebé, pero se sentían demasiado jóvenes para cuidarla y decidieron ponerla en adopción.",Auditory,Auditivo
"I loved the first season, and I would love to play another incredibly strong, badass character.","Me encantó la primera temporada, y me encantaría interpretar a otro personaje increíblemente fuerte y rudo.",Auditory,Auditivo
"I loved what I managed to see of New York, but my skin protested by sprouting ugly things, and it took several shampoos to wash New York dirt out of my hair.","Me encantó lo que logré ver de Nueva York, pero mi piel protestó al brotar cosas feas, y me llevó varios champús para sacar la suciedad de Nueva York de mi cabello.",Auditory,Auditivo
"I loved the simplicity of it, I loved the autonomy of it, and I loved the language of abbreviations that instant messaging has.","Me encantó la simplicidad, me encantó la autonomía y me encantó el lenguaje de las abreviaturas que tiene la mensajería instantánea.",Auditory,Auditivo
"In most ways, the creators of the musical did not want to water down the Tevye they knew and loved.","En la mayoría de los sentidos, los creadores del musical no querían regar el tevye que conocían y amaban.",Auditory,Auditivo
"When Alessandro Bernaroli met his wife-to-be, Alessandra, he knew he loved her despite his confusion over his gender.","Cuando Alessandro Bernaroli conoció a su futura esposa, Alessandra, sabía que la amaba a pesar de su confusión por su género.",Auditory,Auditivo
"Even after Salinger had decamped to Cornish, he loved to lunch with William Shawn and Lillian Ross at the Algonquin in New York.","Incluso después de que Salinger se había mudado a Cornish, le encantaba almorzar con William Shawn y Lillian Ross en el Algonquin en Nueva York.",Auditory,Auditivo
I loved his blend of Native American realism with just a touch of surrealism.,Me encantó su mezcla de realismo nativo americano con solo un toque de surrealismo.,Auditory,Auditivo
"Dozens of tearful family members huddled at the Surabaya and Singapore airports, anxiously awaiting news of loved ones.","Docenas de miembros de la familia llorosos se acurrucaron en los aeropuertos de Surabaya y Singapur, esperando ansiosamente noticias de seres queridos.",Auditory,Auditivo
"Palmer's desire to be loved is large, his need for proofs of appreciation considerable.","El deseo de Palmer de ser amado es grande, su necesidad de pruebas de apreciación es considerable.",Auditory,Auditivo
"The country he had so ardently defended and the city of Benghazi, which he had helped to save and he so loved, proved his undoing.","El país que había defendido tan ardientemente y la ciudad de Benghazi, que había ayudado a salvar y tan amado, demostró su ruina.",Auditory,Auditivo
"And when Pedro Almodovar showed us the argentine film, we loved it because it was so fresh.","Y cuando Pedro Almodovar nos mostró la película argentina, nos encantó porque era muy fresco.",Auditory,Auditivo
"Before his brutal killing along a dark bike path in Ashland, Ore., 23-year-old David Grubbs loved playing videogames.","Antes de su brutal asesinato a lo largo de un camino de bicicleta oscura en Ashland, Oregon, a David Grubbs, de 23 años, le encantaba jugar videojuegos.",Auditory,Auditivo
"The President loved the quote, and turned it into an entire ending about American greatness and aspiration.",Al presidente le encantó la cita y la convirtió en todo un final sobre la grandeza y la aspiración estadounidense.,Auditory,Auditivo
"Augustus, also known as Augustus the Strong, was a party-boy, and loved any excuse to celebrate.","Augustus, también conocido como Augustus the Strong, era un chico de fiesta, y amaba cualquier excusa para celebrar.",Auditory,Auditivo
"And there, the sand castle builder and tag player who loved her aunt more than science would be buried.","Y allí, el Builder y el jugador de etiquetas que amaba a su tía más que la ciencia sería enterrada.",Auditory,Auditivo
"One woman, BB, is a former pastor who was outed to her congregation before she could even tell her loved ones.","Una mujer, BB, es una ex pastor que fue expulsada de su congregación antes de que incluso pudiera decirle a sus seres queridos.",Auditory,Auditivo
"Beethoven, of course, was no stranger to megalomania, and he even loved to brag to his friends about his vanity.","Beethoven, por supuesto, no era ajeno a la megalomanía, e incluso le encantaba alardear de sus amigos sobre su vanidad.",Auditory,Auditivo
"Forrest Gump was about as crimson as they come, and America loved the bejesus out of him.","Forrest Gump era tan carmesí como en el que vienen, y a Estados Unidos le encantó el Bejesus de él.",Auditory,Auditivo
"He was a benchmark, a mentor as an artist and as a man, and I just loved him with all my heart.","Era un punto de referencia, un mentor como artista y como hombre, y lo amaba con todo mi corazón.",Auditory,Auditivo
"He loved the swing music played by big bands, and his heroes included benny Goodman, Count Basie, and Earl Hines.","Le encantaba la música swing tocada por las grandes bandas, y sus héroes incluían a Benny Goodman, Count Basie y Earl Hines.",Auditory,Auditivo
"No one was quite sure how Pepper made it to the bitter end, except that the show's producers loved the drama she provoked.","Nadie estaba bastante seguro de cómo Pepper llegó al final amargo, excepto que a los productores del programa amaba el drama que provocaba.",Auditory,Auditivo
"She was also a buxom beauty, a kind of nineteenth century bombshell who loved to flirt.","También era una belleza de Buxom, una especie de bomba del siglo XIX que amaba coquetear.",Auditory,Auditivo
"Reporters loved Brady, and I dare say the love was mutual, which is not always the case with press secretaries.","Los periodistas amaban a Brady, y me atrevo a decir que el amor era mutuo, que no siempre es el caso con los secretarios de prensa.",Auditory,Auditivo
"Ygritte, the red-headed wildling archer who once loved Jon Snow, has breached the walls of Castle Black.","Ygritte, el arquero salvaje pelirrojo que una vez amó a Jon Snow, ha violado las paredes de Castle Black.",Auditory,Auditivo
"We loved Zellweger as Bridget Jones for owning her weight, finding love, and never settling for less than she deserved.","Amamos a Zellweger como Bridget Jones por poseer su peso, encontrar el amor y nunca conformarse con menos de lo que merecía.",Auditory,Auditivo
"Occasionally, when Brie focuses very hard, her loved ones can Briefly sense her, can hear her whispering in their ears.","Ocasionalmente, cuando Brie se enfoca muy duro, sus seres queridos pueden sentirla brevemente, puede escucharla susurrar en sus oídos.",Auditory,Auditivo
"And, like her mother, she was abandoned by the man she loved.","Y, como su madre, fue abandonada por el hombre que amaba.",Auditory,Auditivo
I wondered what the casualty officers would say to loved ones if they asked to see the ceremony.,Me preguntaba qué dirían los oficiales de víctimas a los seres queridos si pidieran ver la ceremonia.,Auditory,Auditivo
I would have loved to be a fly on the wall in last week's Cabinet meeting.,Me hubiera encantado ser una mosca en la pared en la reunión del gabinete de la semana pasada.,Auditory,Auditivo
I'd have loved to have been a fly on the wall for that conversation.,Me hubiera encantado una mosca en la pared para esa conversación.,Auditory,Auditivo
"The editors, writers, and cartoonists at Charlie Hebdo were human beings with families, friends, and loved ones.","Los editores, escritores y dibujantes de Charlie Hebdo eran seres humanos con familias, amigos y seres queridos.",Auditory,Auditivo
Relatives of the dead were forced to collect the charred body parts of their loved ones and transport them to their burial sites.,Los familiares de los muertos se vieron obligados a recoger las partes del cuerpo carbonizado de sus seres queridos y transportarlos a sus sitios de entierro.,Auditory,Auditivo
"To me, death was a mysterious, dark, horrible thing that would catch you and drag you down into a deep abyss, away from everything and everyone you loved.","Para mí, la muerte era una cosa misteriosa, oscura y horrible que te atraparía y lo arrastraría hacia un abismo profundo, lejos de todo y de todos los que amaron.",Auditory,Auditivo
"But they sort of ran the place, secretaries or organisers or whatever they were, and we kids loved them, really loved them and they were as warm as toast.","Pero corrieron el lugar, los secretarios u organizadores o lo que fueran, y a los niños los amamos, realmente los amamos y eran tan cálidos como tostados.",Auditory,Auditivo
He ate only the choicest foods and loved the fatty cut of tuna known as toro.,Solo comió los alimentos más selectos y le encantó el corte graso del atún conocido como Toro.,Auditory,Auditivo
"Later at the Pendleton home, the mother, Cleopatra Crowley-Pendleton, spoke of a daughter who loved reading and writing and Latin.","Más tarde en la casa de Pendleton, la madre, Cleopatra Crowley Pendleton, habló de una hija a la que le encantaba leer, escribir y latín.",Auditory,Auditivo
"He was a deeply religious and holy man who was loved by the elderly people most of all, as he had a way with him that won over their deep sense of faith and warmth.","Era un hombre profundamente religioso y santo que era amado por los ancianos sobre todo, ya que tenía una manera con él que ganaba su profundo sentido de fe y calidez.",Auditory,Auditivo
"Early in his career he had made the mistake, at the outset of his acquaintance with a lady, of telling her that he loved her and exacting the same avowal in return.","Al principio de su carrera, había cometido el error, al comienzo de su conocido con una dama, de decirle que la amaba y que exigía la misma declaración a cambio.",Auditory,Auditivo
I've always loved when girls carry their wallets as a clutch instead of a bag.,Siempre me ha encantado cuando las chicas llevan sus billeteras como un embrague en lugar de una bolsa.,Auditory,Auditivo
She has always loved Irish music and was still able to do the Irish jigs.,Siempre le ha encantado la música irlandesa y todavía pudo hacer las plantillas irlandesas.,Auditory,Auditivo
"Apparently half the audience was shocked speechless, but Hawking loved it.","Aparentemente, la mitad de la audiencia se sorprendió sin palabras, pero a Hawking le encantó.",Auditory,Auditivo
"Spectators will also have the opportunity to get up close and personal with some of the most loved, and best presented classic racing cars in the world.",Los espectadores también tendrán la oportunidad de acercarse a algunos de los autos de carreras clásicos más queridos y mejor presentados del mundo.,Auditory,Auditivo
"It was not commercial fiction, it was all serious fiction, but I loved it.","No era ficción comercial, todo era ficción seria, pero me encantó.",Auditory,Auditivo
"He adored her, she was the apple of his eye and she loved her dad.","Él la adoraba, ella era la manzana de su ojo y ella amaba a su padre.",Auditory,Auditivo
Age plus adaptivity is what makes a building come to be loved.,La adaptividad de la edad más es lo que hace que un edificio sea amado.,Auditory,Auditivo
"A man of great manners, deep loyalty, and a common touch, David loved parties.","Un hombre de grandes modales, lealtad profunda y un toque común, David amaba a las fiestas.",Auditory,Auditivo
"When the teenager was 14 or 15, the suit contends, Goddard communicated that he loved John Doe.","Cuando el adolescente tenía 14 o 15 años, la demanda sostiene, Goddard comunicó que amaba a John Doe.",Auditory,Auditivo
Whitman loved adhesiveness so because it is a friendly profusion.,"Whitman amaba la adhesividad, así que es una profusión amistosa.",Auditory,Auditivo
"Hitchcock loved to tell stories, elaborate, complicated rough drafts for movies he would never make.","A Hitchcock le encantaba contar historias, borradores difíciles complicados y complicados para las películas que nunca haría.",Auditory,Auditivo
"Both Conductors were interesting people, retired and loved railroading.","Ambos directores eran personas interesantes, retiradas y amadas por ferrocarril.",Auditory,Auditivo
"He was an accomplished card player and loved to meet the locals in Garrafrauns, Brickens, Cloonfad, Irishtown or wherever his rambles would take him.","Era un jugador de cartas consumado y le encantaba conocer a los lugareños en Garrafrauns, Brickens, Cloonfad, Irishtown o donde sea que sus divagaciones lo llevaran.",Auditory,Auditivo
"She loved the way the lecturer stated it, offhand, but with the air of a pompatus.","Le encantaba la forma en que el profesor lo declaraba, de manera imposible, pero con el aire de un pompatus.",Auditory,Auditivo
"She loved me, my parents, my friends, her catsitters, and even visiting cable repairmen and plumbers, in whose toolboxes she liked to nap.","Ella me amaba a mí, a mis padres, a mis amigos, a sus gatsitters e incluso visitara a los reparadores y a los fontaneros, en cuyas cajas de herramientas le gustaba la siesta.",Auditory,Auditivo
"We imagined that this was a ruse on his part, for his neck loved the yoke of groomdom.","Nos imaginamos que esto era una artimaña de su parte, ya que su cuello amaba el yugo del novio.",Auditory,Auditivo
"Loving dad of Jacquie and Gordon, much loved pop of Lisa, Calvin, Gavin and Alexin and great-grand-pop of Olivia, Bradley, Max, Joel and Alaia.","Amado padre de Jacquie y Gordon, muy querido Pop de Lisa, Calvin, Gavin y Alexin y bisabuela de Olivia, Bradley, Max, Joel y Alaia.",Auditory,Auditivo
"Despite the woodchopping and the 70-mile hikes with a blood-soaked shirt from the rucksack on my back, I loved it.","A pesar de la madera y las caminatas de 70 millas con una camisa empapada de sangre de la mochila en mi espalda, me encantó.",Auditory,Auditivo
"This guest of summer, The temple-haunting martlet, does approve By his loved mansionry that the heaven's breath Smells wooingly here.","Este invitado de Summer, el Martlet que se cae en el templo, aprueba por su amada Mansionry que el aliento del cielo huele alimitadamente aquí.",Auditory,Auditivo
"After all that, I found room for some cappuccino ice cream while Erika loved her raspberry and amoretto crme brulee.","Después de todo eso, encontré espacio para un helado de capuchino, mientras que Erika amaba su frambuesa y Amoretto Crme Brulee.",Auditory,Auditivo
"For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life.","Porque Dios amaba el mundo que le dio a su único hijo, que quien crea en él no perecerá sino que tenga vida eterna.",Auditory,Auditivo
"He adds, probably his letter would be propaled and made a bauchle of, and assures them he was never loved at Court as a minister.","Agrega, probablemente su carta sería propalada e hizo un Bauchle, y les asegura que nunca fue amado en la corte como ministro.",Auditory,Auditivo
The English potter and ceramist Josiah Wedgwood loved the meander.,El alfarero inglés y el ceramista Josiah Wedgwood amaba el meandro.,Auditory,Auditivo
I had a listsib from the UK mail me a couple bottles once to try and I really loved it a lot.,Tenía una lista del Reino Unido por correo electrónico una vez un par de botellas para intentarlo y realmente me encantó mucho.,Auditory,Auditivo
"Each loved one that thou leavest here, Some other love may wear, Each heart will have some other heart Its loneliness to share.","Cada ser querido que levantas aquí, algún otro amor puede usar, cada corazón tendrá algún otro corazón su soledad para compartir.",Auditory,Auditivo
"When I was young, I loved to dig and find and collect fossils.","Cuando era joven, me encantaba cavar, encontrar y recolectar fósiles.",Auditory,Auditivo
"I pray that our Heavenly Father may assuage the anguish of your bereavement, and leave you only the cherished memory of the loved and lost.",Rezo para que nuestro Padre Celestial pueda calmar la angustia de su duelo y dejarlo solo el preciado recuerdo de los amados y perdidos.,Auditory,Auditivo
"Nothing beats visiting new places, recharging the batteries and spending quality time with the loved ones.","Nada mejor que visitar nuevos lugares, recargar las baterías y pasar tiempo de calidad con los seres queridos.",Auditory,Auditivo
"I loved saying lads... like I was a comrade... like I was one of them... me and the lads... alright lads, eh... Italy, no problem.","Me encantaba decir muchachos ... como si fuera un camarada ... como si fuera uno de ellos ... yo y los muchachos ... Muy bien muchachos, eh ... Italia, no hay problema.",Auditory,Auditivo
"I liked my very tall Aspieish doctor, loved his deep monotone and astute attention to detail and naturally, his pragmatic advice.","Me gustó mi médico muy alto aspirante, me encantó su profunda monótona y su astuta atención al detalle y, naturalmente, su consejo pragmático.",Auditory,Auditivo
"Partly because I loved milder forms of knifeplay but had never taken it as far as I'd fantasized, but mostly because of her.","En parte porque me encantaron las formas más suaves de postura de cuchillo, pero nunca lo había llevado tan lejos como fantaseé, pero sobre todo por ella.",Auditory,Auditivo
"He was his brother, Mark says. It comes into his head how much Faye loved songs. He had quite forgotten how much.","Él era su hermano, dice Mark. Entre en su cabeza cuánto amaban a Faye. Había olvidado bastante cuánto.",Auditory,Auditivo
"Jack was a truck driver. He loved over-the-road trips. Think he had a girl in every port, so to speak.","Jack era un camionero. Le encantaban los viajes por carretera. Creo que tenía una chica en cada puerto, por así decirlo.",Auditory,Auditivo
"President Franklin Roosevelt loved Camp Pendleton, and decreed that the old ranch house... should be preserved for the ages.","El presidente Franklin Roosevelt amaba el campamento Pendleton, y decretó que la antigua casa del rancho ... debería preservarse para las edades.",Auditory,Auditivo
I loved him for nothing so much as his flocci-nauci-nihili-pili-fication of money.,Lo amaba por nada tanto como su ficción de dinero Flocci-Nihili-Pili.,Auditory,Auditivo
He loved to flabbergast his associates by announcing some startling new policy without consulting any of them.,Le encantaba volar a sus asociados al anunciar una nueva política sorprendente sin consultar ninguna de ellas.,Auditory,Auditivo
"Nanak stated that the human Guru is mortal and not divine, who is to be respected and loved but not worshipped.","Nanak declaró que el gurú humano es mortal y no divino, que debe ser respetado y amado pero no adorado.",Auditory,Auditivo
She loved to play cards and shocked devout Protestants by playing on Sundays.,Le encantaba jugar a las cartas y sorprendió a los protestantes devotos jugando los domingos.,Auditory,Auditivo
I have a feeling that this pie is the Marmite of the school pie world. You either loved it or you hated it.,Tengo la sensación de que este pastel es el marmitador del mundo del pastel de la escuela. O te encantó o lo odiaste.,Auditory,Auditivo
"However, she is convinced that her two suitors are mocking her, as neither loved her originally.","Sin embargo, está convencida de que sus dos pretendientes la están burlando de ella, ya que ninguno de los dos la amaba originalmente.",Auditory,Auditivo
"In practice, however, she loved only Percy Shelley and seems to have ventured no further than flirting with Hogg.","En la práctica, sin embargo, solo amaba a Percy Shelley y parece haberse aventurado más que coquetear con Hogg.",Auditory,Auditivo
He loved Sussex to the point of idolatry as the place where he was brought up and as his spiritual home.,Amaba a Sussex hasta el punto de la idolatría como el lugar donde fue criado y como su hogar espiritual.,Auditory,Auditivo
"Their marriage began to fall apart in 1901 when it occurred to Russell, while he was cycling, that he no longer loved her.","Su matrimonio comenzó a desmoronarse en 1901 cuando se le ocurrió a Russell, mientras estaba en bicicleta, que ya no la amaba.",Auditory,Auditivo
"Above all, Emily loved to wander about the wild landscape of the moors around Haworth.","Sobre todo, a Emily le encantaba deambular por el paisaje salvaje de los moros alrededor de Haworth.",Auditory,Auditivo
"From all accounts, Kipling loved the outdoors, not least of whose marvels in Vermont was the turning of the leaves each fall.","A partir de todos los informes, a Kipling le encantó el aire libre, entre las cuyas maravillas en Vermont fue el giro de las hojas cada otoño.",Auditory,Auditivo
"It is an art which will never enjoy an appeal to the many, but one which will always be loved, and dearly loved, by the few.","Es un arte que nunca disfrutará de un atractivo para los muchos, pero que siempre será amado y muy amado por los pocos.",Auditory,Auditivo
"The public loved the film, with lines stretching outside of cinemas as people had to wait for the next showing.","Al público le encantaba la película, con líneas que se extendían fuera de los cines, ya que la gente tenía que esperar la próxima exhibición.",Auditory,Auditivo
To give the film added life is really cool for both those who missed it and those who really loved it.,Darle la película la vida agregada es realmente genial tanto para aquellos que la perdieron como para aquellos que realmente lo amaron.,Auditory,Auditivo
"The girls loved it, and Alice Liddell asked Dodgson to write it down for her.","A las chicas les encantó, y Alice Liddell le pidió a Dodgson que lo escribiera para ella.",Auditory,Auditivo
She loved.. to watch the lovely shadows in the silent depths of the placid mere.,Ella amaba ... para ver las encantadoras sombras en las profundidades silenciosas de la placida mera.,Auditory,Auditivo
Don loved the minihamburgers even though they gave him horrible indigestion.,A Don le encantaron las minihamburguesas a pesar de que le dieron una indigestión horrible.,Auditory,Auditivo
Mark Lever of the National Autistic Society wants families fully involved in decisions about care decisions for their loved ones.,Mark Lever de la Sociedad Autista Nacional quiere que las familias sean totalmente involucradas en decisiones sobre las decisiones de atención para sus seres queridos.,Auditory,Auditivo
"Years later he came to regret not going to university, but at the time he loved his work as a journalist and felt passionately about his career.","Años más tarde, lamentó no ir a la universidad, pero en ese momento amaba su trabajo como periodista y se sintió apasionadamente por su carrera.",Auditory,Auditivo
"He loved New York but felt the city was threatened by commercialism and vulgarity, and he no longer felt at home there.","Amaba Nueva York, pero sentía que la ciudad estaba amenazada por el comercialismo y la vulgaridad, y ya no se sentía como en casa allí.",Auditory,Auditivo
"The term used in the work Kin is a recurring theme of Emin's to describe those dear to her, her loved ones.","El término utilizado en el trabajo, parientes, es un tema recurrente de Emin's para describir a esos queridos, sus seres queridos.",Auditory,Auditivo
"For over 60 years of ITV, the homegrown programmes have become the best loved and remembered as well as being extremely successful.","Durante más de 60 años de ITV, los programas locales se han convertido en los más queridos y recordados, además de ser extremadamente exitosos.",Auditory,Auditivo
His affectionate disposition and genial manners made him much loved and held in warm regard by many of his contemporaries.,Su afectuosa disposición y modales geniales lo hicieron muy amado y mantenido en cálido consideración por muchos de sus contemporáneos.,Auditory,Auditivo
"He loved practical jokes, and allegedly kept a halfpenny in his pocket to trick pickpockets.","Le encantaban los chistes prácticos, y supuestamente mantuvo a un medio penante en su bolsillo para engañar a los carteristas.",Auditory,Auditivo
"Characters are given to killing loved ones by mistake, and dying of grief, or of joy.",Los personajes se dan a matar a sus seres queridos por error y al morir de dolor o de alegría.,Auditory,Auditivo
